=============================================
  4-bit Adder Self-Checking Testbench
=============================================

--- Directed Tests ---
UVM_INFO: [PASS] exhaustive_a6_bb_c0 | a=6 b=b cin=0 | sum=1 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_bb_c1 | a=6 b=b cin=1 | sum=2 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_bc_c0 | a=6 b=c cin=0 | sum=2 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_bc_c1 | a=6 b=c cin=1 | sum=3 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_bd_c0 | a=6 b=d cin=0 | sum=3 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_bd_c1 | a=6 b=d cin=1 | sum=4 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_be_c0 | a=6 b=e cin=0 | sum=4 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_be_c1 | a=6 b=e cin=1 | sum=5 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_bf_c0 | a=6 b=f cin=0 | sum=5 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_bf_c1 | a=6 b=f cin=1 | sum=6 cout=1 ovflow=0
